iter	RMSE
0	1.541112137
1	1.535066943
2	1.52974926
3	1.525114685
4	1.5210936
5	1.517646079
6	1.513597119
7	1.510166018
8	1.50696404
9	1.503503288
10	1.500712856
11	1.497832757
12	1.495500934
13	1.492998102
14	1.490543056
15	1.48831313
16	1.486193909
17	1.484365743
18	1.482178636
19	1.480492612
20	1.479273675
21	1.478078897
22	1.476488999
23	1.475021745
24	1.473730983
25	1.472679354
26	1.471094211
27	1.469811316
28	1.468731948
29	1.467676984
30	1.466936804
31	1.465675039
32	1.464503833
33	1.463384724
34	1.461750226
35	1.460987948
36	1.459986678
37	1.458786033
38	1.45742371
39	1.456852363
40	1.456217569
41	1.455447045
42	1.454809903
43	1.454052718
44	1.453054007
45	1.452272064
46	1.451754658
47	1.451317684
48	1.450618098
49	1.449498984
50	1.448855517
51	1.448395623
52	1.448022492
53	1.447545428
54	1.447167093
55	1.446878274
56	1.446330397
57	1.446007304
58	1.445711153
59	1.444771463
60	1.444300993
61	1.443356871
62	1.442512212
63	1.442085438
64	1.441795156
65	1.441482273
66	1.441062965
67	1.440448002
68	1.440132209
69	1.439692791
70	1.43891199
71	1.438269495
72	1.437501209
73	1.437052621
74	1.436450615
75	1.436043992
76	1.435190554
77	1.434304076
78	1.434064129
79	1.433675342
80	1.433166702
81	1.433031351
82	1.432810693
83	1.432133693
84	1.431298766
85	1.430638187
86	1.430036873
87	1.42943637
88	1.429372182
89	1.428724084
90	1.42813339
91	1.427955664
92	1.427617179
93	1.427179019
94	1.426631476
95	1.426022595
96	1.425395274
97	1.425051359
98	1.424649281
99	1.424394944
100	1.424013842
101	1.423803717
102	1.423517486
103	1.423262761
104	1.423128239
105	1.422882037
106	1.422427294
107	1.422207122
108	1.422057865
109	1.421527447
110	1.421361724
111	1.421144185
112	1.420549256
113	1.42005267
114	1.419902148
115	1.419474891
116	1.419315291
117	1.418788557
118	1.418605864
119	1.418424136
120	1.418067716
121	1.417360011
122	1.416870965
123	1.416330486
124	1.416092327
125	1.415770183
126	1.415394709
127	1.415199565
128	1.414966083
129	1.414798973
130	1.414502438
131	1.41428376
132	1.413827923
133	1.413429907
134	1.41313601
135	1.41286292
136	1.41238825
137	1.412001081
138	1.411727468
139	1.411400051
140	1.410860605
141	1.410411366
142	1.410170175
143	1.409552942
144	1.409299117
145	1.408865753
146	1.40845497
147	1.408167952
148	1.408052793
149	1.407385935
150	1.406942396
151	1.406776834
152	1.406375519
153	1.406102309
154	1.40568637
155	1.404741038
156	1.404326478
157	1.404057104
158	1.403628966
159	1.403282513
160	1.402915432
161	1.402706823
162	1.402318928
163	1.401352386
164	1.400753795
165	1.400374874
166	1.400220467
167	1.399704186
168	1.399427168
169	1.399166801
170	1.398566746
171	1.398263842
172	1.397893315
173	1.397533629
174	1.397305442
175	1.396864998
176	1.396518295
177	1.396080544
178	1.395579478
179	1.395371323
180	1.394726166
181	1.394300362
182	1.393960646
183	1.393361699
184	1.392944348
185	1.392724778
186	1.392320659
187	1.391561819
188	1.391228297
189	1.390821969
190	1.390420323
191	1.390085459
192	1.389505142
193	1.389259875
194	1.388891325
195	1.388409423
196	1.387692966
197	1.387167707
198	1.386798708
199	1.386439463
