iter	Passed	Remaining
0	138	27610
1	139	13809
2	140	9205
3	140	6897
4	141	5511
5	142	4592
6	142	3937
7	143	3444
8	144	3058
9	144	2748
10	145	2500
11	146	2290
12	146	2111
13	147	1958
14	147	1824
15	148	1707
16	149	1604
17	149	1513
18	150	1432
19	151	1360
20	151	1293
21	152	1232
22	166	1283
23	167	1228
24	168	1177
25	168	1129
26	169	1086
27	170	1045
28	171	1008
29	171	972
30	172	938
31	173	908
32	173	878
33	174	850
34	174	824
35	175	798
36	175	774
37	176	753
38	177	732
39	177	711
40	178	692
41	179	673
42	179	655
43	180	640
44	181	624
45	181	608
46	182	593
47	182	579
48	183	565
49	184	553
50	185	540
51	185	528
52	186	516
53	186	505
54	187	494
55	188	484
56	189	474
57	189	464
58	190	454
59	190	445
60	191	436
61	192	427
62	192	419
63	193	411
64	194	403
65	194	395
66	195	388
67	196	381
68	196	373
69	197	366
70	198	359
71	198	353
72	199	346
73	200	340
74	200	334
75	201	328
76	201	322
77	202	316
78	203	311
79	203	305
80	204	300
81	204	294
82	205	289
83	206	284
84	206	279
85	207	274
86	208	270
87	208	265
88	209	261
89	210	256
90	210	252
91	211	248
92	212	244
93	213	240
94	213	236
95	214	232
96	214	228
97	215	224
98	216	220
99	217	217
100	217	213
101	218	209
102	218	206
103	219	203
104	220	199
105	221	196
106	221	192
107	222	189
108	223	186
109	223	183
110	224	179
111	225	176
112	225	173
113	226	170
114	226	167
115	227	164
116	228	161
117	228	159
118	229	156
119	229	153
120	230	150
121	231	147
122	232	145
123	232	142
124	233	139
125	233	137
126	234	134
127	235	132
128	235	129
129	236	127
130	237	124
131	237	122
132	238	120
133	239	117
134	239	115
135	240	113
136	240	110
137	241	108
138	242	106
139	243	104
140	243	101
141	244	99
142	244	97
143	245	95
144	246	93
145	247	91
146	247	89
147	248	87
148	249	85
149	249	83
150	250	81
151	250	79
152	251	77
153	252	75
154	252	73
155	253	71
156	254	69
157	254	67
158	255	65
159	255	63
160	256	62
161	257	60
162	258	58
163	258	56
164	259	55
165	260	53
166	260	51
167	261	49
168	262	48
169	262	46
170	263	44
171	264	43
172	264	41
173	265	39
174	266	38
175	267	36
176	267	34
177	268	33
178	268	31
179	269	29
180	270	28
181	270	26
182	271	25
183	272	23
184	272	22
185	273	20
186	274	19
187	274	17
188	275	16
189	276	14
190	276	13
191	277	11
192	277	10
193	278	8
194	279	7
195	279	5
196	280	4
197	281	2
198	281	1
199	282	0
